Date,Close,High,Low,Open,Volume
2025-04-21,175548.046875,178927.794096829,173460.55594387033,173758.76893403172,1877473
2025-04-22,172764.71875,174454.59229358457,172267.69711953393,173957.57066311853,2008388
2025-04-23,179921.828125,180518.25407458562,177039.10270200277,178033.14595131215,3857373
2025-04-24,177237.921875,182307.54274747617,176542.09155916996,181711.11676247898,3162156
2025-04-25,183301.578125,183798.59975765998,181015.2786147641,181412.89592089207,3507810
2025-04-28,180915.890625,182804.5729996566,178629.59090831043,182406.95565762362,2455710
2025-04-29,179723.03125,181810.52221031528,178033.15761545906,180915.883227323,1866386
2025-04-30,176442.6875,178927.79577464788,175647.45285211268,178033.15679577464,2354473
2025-05-02,184892.0625,185090.87116935485,177337.33306451613,178331.37641129034,3886874
2025-05-07,189663.453125,190359.28340376046,184792.64117367662,186581.91903334644,3830097
2025-05-08,189166.4375,194832.48423541777,188271.79854177614,194832.48423541777,5125330
2025-05-09,188967.625,191651.5418200947,185687.28221988428,190856.3072067333,2539822
2025-05-12,193838.4375,194037.24615384615,192347.37259615384,192446.77692307692,1624884
2025-05-13,197317.609375,200299.73949149874,196124.7573284005,199305.69611933248,3385009
2025-05-14,204772.921875,205766.96518507283,202784.83525485438,205766.96518507283,3333511
2025-05-15,199305.6875,206761.01246882795,198311.64417082295,206263.9908042394,3178957
2025-05-16,203281.859375,205518.45684978607,202287.81605287286,204772.9243581907,2419507
2025-05-19,198212.21875,201790.77435431292,196323.5366255015,201790.77435431292,2482673
2025-05-20,200796.75,206761.0099009901,200299.72834158415,201293.77165841582,2820546
2025-05-21,199305.6875,203778.88248129678,198709.26150249378,203281.86081670824,1721760
2025-05-22,195727.125,200299.72416201117,195329.50768156425,198709.25488826816,1988587
2025-05-23,198808.671875,200299.7369140625,197516.4155078125,198709.2675390625,1538701
2025-05-26,201790.796875,202287.8185421798,195727.1325354064,198808.6668719212,1459997
2025-05-27,201293.765625,202287.80891203703,198808.65740740742,199305.67905092592,1424916
2025-05-28,206760.984375,208252.04916616587,204772.89798677884,205269.91958383415,3161188
2025-05-29,211117.796875,213607.3935362618,206636.5228847288,213607.3935362618,3827689
